iter	Passed	Remaining
0	60	60883
1	61	30582
2	61	20530
3	62	15477
4	62	12426
5	62	10394
6	63	8937
7	63	7851
8	63	7010
9	63	6334
10	64	5778
11	64	5328
12	65	4943
13	65	4606
14	65	4315
15	66	4065
16	66	3849
17	66	3652
18	67	3475
19	67	3315
20	68	3170
21	68	3036
22	68	2914
23	68	2804
24	69	2701
25	69	2606
26	69	2518
27	70	2441
28	70	2365
29	70	2294
30	71	2229
31	71	2165
32	71	2106
33	72	2050
34	72	1998
35	72	1948
36	73	1900
37	73	1854
38	73	1815
39	73	1775
40	74	1738
41	74	1703
42	74	1668
43	75	1635
44	75	1603
45	75	1573
46	76	1545
47	76	1517
48	76	1490
49	77	1463
50	77	1439
51	77	1417
52	78	1395
53	78	1372
54	78	1350
55	78	1329
56	79	1309
57	79	1290
58	79	1274
59	80	1257
60	80	1239
61	80	1222
62	81	1206
63	81	1191
64	81	1177
65	82	1164
66	82	1149
67	82	1133
68	83	1120
69	83	1106
70	83	1095
71	84	1084
72	84	1073
73	84	1062
74	85	1050
75	85	1039
76	85	1028
77	86	1016
78	86	1005
79	86	995
80	86	985
81	87	976
82	87	967
83	87	959
84	88	948
85	88	940
86	88	929
87	88	920
88	89	912
89	89	904
90	89	896
91	89	888
92	90	880
93	90	872
94	90	865
95	91	857
96	91	850
97	91	843
98	91	836
99	92	831
100	92	825
101	93	818
102	93	813
103	93	807
104	93	801
105	94	794
106	94	789
107	94	782
108	95	777
109	95	771
110	95	765
111	95	759
112	96	754
113	96	749
114	96	744
115	96	738
116	97	733
117	97	728
118	97	722
119	97	717
120	98	712
121	98	707
122	98	702
123	98	697
124	98	692
125	99	688
126	99	683
127	99	678
128	99	674
129	100	670
130	100	666
131	100	662
132	100	658
133	101	654
134	101	650
135	101	646
136	101	642
137	102	638
138	102	634
139	102	630
140	102	627
141	103	623
142	103	620
143	103	616
144	103	613
145	104	609
146	104	606
147	104	603
148	105	599
149	105	596
150	105	593
151	105	590
152	106	587
153	106	584
154	106	580
155	106	577
156	107	575
157	107	572
158	107	569
159	107	566
160	108	563
161	108	560
162	108	557
163	108	555
164	109	552
165	109	549
166	109	547
167	109	544
168	110	541
169	110	539
170	110	536
171	110	534
172	111	531
173	111	529
174	111	526
175	111	524
176	112	521
177	112	519
178	112	516
179	112	514
180	113	511
181	113	509
182	113	507
183	113	504
184	114	502
185	114	500
186	114	498
187	114	496
188	115	494
189	115	491
190	115	489
191	115	487
192	116	485
193	116	484
194	116	481
195	117	479
196	117	477
197	117	475
198	117	474
199	118	472
200	118	470
201	118	468
202	118	466
203	119	464
204	119	462
205	119	460
206	119	458
207	120	457
208	120	455
209	120	453
210	120	451
211	121	450
212	121	448
213	121	446
214	121	444
215	122	443
216	122	441
217	122	440
218	123	439
219	123	437
220	123	436
221	124	434
222	124	433
223	124	432
224	125	431
225	125	429
226	125	428
227	126	426
228	126	425
229	126	423
230	126	422
231	127	420
232	127	419
233	127	418
234	128	417
235	128	416
236	128	414
237	129	413
238	129	411
239	129	410
240	130	409
241	130	408
242	130	406
243	130	405
244	131	404
245	131	402
246	131	401
247	131	400
248	132	398
249	132	397
250	132	395
251	132	394
252	133	393
253	133	391
254	133	390
255	133	389
256	134	388
257	134	386
258	134	385
259	135	384
260	135	383
261	135	381
262	135	380
263	136	379
264	136	377
265	136	376
266	136	375
267	137	374
268	137	372
269	137	371
270	137	370
271	138	369
272	138	368
273	138	367
274	138	365
275	139	365
276	139	364
277	139	363
278	140	362
279	140	361
280	140	360
281	140	358
282	141	357
283	141	357
284	141	356
285	142	355
286	142	354
287	142	353
288	143	352
289	143	351
290	143	349
291	143	348
292	144	347
293	144	346
294	144	345
295	144	344
296	145	343
297	145	342
298	145	341
299	146	340
300	146	339
301	146	338
302	146	337
303	147	336
304	147	335
305	147	335
306	148	334
307	148	333
308	148	332
309	148	331
310	149	330
311	149	329
312	149	328
313	149	327
314	150	326
315	150	325
316	150	324
317	151	324
318	151	323
319	151	322
320	152	321
321	152	321
322	153	321
323	153	321
324	154	320
325	154	320
326	155	319
327	155	318
328	155	317
329	156	316
330	156	315
331	156	315
332	156	314
333	157	313
334	157	312
335	157	311
336	157	310
337	158	309
338	158	308
339	158	308
340	158	307
341	159	306
342	159	305
343	159	304
344	159	303
345	160	302
346	160	301
347	160	301
348	160	300
349	161	299
350	161	298
351	161	297
352	162	296
353	162	296
354	162	295
355	162	294
356	163	293
357	163	292
358	163	292
359	163	291
360	164	290
361	164	289
362	164	288
363	164	287
364	165	287
365	165	286
366	165	285
367	165	284
368	166	284
369	166	283
370	166	282
371	166	281
372	167	280
373	167	280
374	167	279
375	167	278
376	168	277
377	168	277
378	168	276
379	169	275
380	169	275
381	169	274
382	169	273
383	170	272
384	170	272
385	170	271
386	171	270
387	171	270
388	171	269
389	171	268
390	172	267
391	172	267
392	172	266
393	172	265
394	173	265
395	173	264
396	173	263
397	173	262
398	174	262
399	174	261
400	174	260
401	174	260
402	175	259
403	175	258
404	175	257
405	175	257
406	176	256
407	176	255
408	176	255
409	176	254
410	177	253
411	177	253
412	177	252
413	177	251
414	178	251
415	178	250
416	178	249
417	178	249
418	179	248
419	179	247
420	179	247
421	179	246
422	180	245
423	180	245
424	180	244
425	181	244
426	181	243
427	181	242
428	181	242
429	182	241
430	182	240
431	182	240
432	182	239
433	183	238
434	183	238
435	183	237
436	184	237
437	184	236
438	184	235
439	184	235
440	185	234
441	185	233
442	185	233
443	185	232
444	186	232
445	186	231
446	186	230
447	186	230
448	187	229
449	187	229
450	187	228
451	187	227
452	188	227
453	188	226
454	188	225
455	188	225
456	189	224
457	189	224
458	189	223
459	189	222
460	190	222
461	190	221
462	190	221
463	190	220
464	191	220
465	191	219
466	191	218
467	191	218
468	192	217
469	192	217
470	192	216
471	193	215
472	193	215
473	193	214
474	193	214
475	194	213
476	194	213
477	194	212
478	194	211
479	195	211
480	195	210
481	195	210
482	195	209
483	196	208
484	196	208
485	196	207
486	196	207
487	197	206
488	197	206
489	197	205
490	197	205
491	198	204
492	198	203
493	198	203
494	198	202
495	198	202
496	199	201
497	199	201
498	199	200
499	200	200
500	200	199
501	200	199
502	200	198
503	201	197
504	201	197
505	201	196
506	201	196
507	202	195
508	202	195
509	202	194
510	202	194
511	203	193
512	203	193
513	203	192
514	203	191
515	204	191
516	204	190
517	204	190
518	204	189
519	205	189
520	205	188
521	205	188
522	205	187
523	206	187
524	206	186
525	206	186
526	206	185
527	207	185
528	207	184
529	207	184
530	208	183
531	208	183
532	208	182
533	208	182
534	209	181
535	209	181
536	209	180
537	209	180
538	210	179
539	210	179
540	210	178
541	210	178
542	211	177
543	211	177
544	211	176
545	211	176
546	212	175
547	212	175
548	212	174
549	213	174
550	213	173
551	213	173
552	213	172
553	214	172
554	214	171
555	214	171
556	215	171
557	215	170
558	215	170
559	215	169
560	216	169
561	216	168
562	216	168
563	216	167
564	217	167
565	217	166
566	217	166
567	217	165
568	218	165
569	218	164
570	218	164
571	218	163
572	219	163
573	219	162
574	219	162
575	219	161
576	220	161
577	220	160
578	220	160
579	221	160
580	221	159
581	221	159
582	221	158
583	222	158
584	222	157
585	222	157
586	222	156
587	223	156
588	223	155
589	223	155
590	223	154
591	224	154
592	224	154
593	224	153
594	224	153
595	225	152
596	225	152
597	225	151
598	225	151
599	226	150
600	226	150
601	226	149
602	227	149
603	227	149
604	227	148
605	227	148
606	228	147
607	228	147
608	228	146
609	228	146
610	229	145
611	229	145
612	229	144
613	229	144
614	230	144
615	230	143
616	230	143
617	231	142
618	231	142
619	231	141
620	231	141
621	232	141
622	232	140
623	232	140
624	232	139
625	233	139
626	233	138
627	233	138
628	233	137
629	234	137
630	234	137
631	234	136
632	234	136
633	235	135
634	235	135
635	235	134
636	235	134
637	236	133
638	236	133
639	236	133
640	236	132
641	237	132
642	237	131
643	237	131
644	238	131
645	238	130
646	238	130
647	238	129
648	239	129
649	239	128
650	239	128
651	239	128
652	240	127
653	240	127
654	240	126
655	240	126
656	241	125
657	241	125
658	241	125
659	242	124
660	242	124
661	242	123
662	242	123
663	243	123
664	243	122
665	243	122
666	243	121
667	244	121
668	244	120
669	244	120
670	245	120
671	245	119
672	245	119
673	245	118
674	246	118
675	246	118
676	246	117
677	246	117
678	247	116
679	247	116
680	247	116
681	247	115
682	248	115
683	248	114
684	248	114
685	248	113
686	249	113
687	249	113
688	249	112
689	249	112
690	250	111
691	250	111
692	250	111
693	250	110
694	251	110
695	251	109
696	251	109
697	252	109
698	252	108
699	252	108
700	252	107
701	253	107
702	253	107
703	253	106
704	253	106
705	254	105
706	254	105
707	254	105
708	254	104
709	255	104
710	255	103
711	255	103
712	256	103
713	256	102
714	256	102
715	256	101
716	257	101
717	257	101
718	257	100
719	257	100
720	258	99
721	258	99
722	258	99
723	258	98
724	259	98
725	259	97
726	259	97
727	260	97
728	260	96
729	260	96
730	260	95
731	261	95
732	261	95
733	261	94
734	261	94
735	262	94
736	262	93
737	262	93
738	262	92
739	263	92
740	263	92
741	263	91
742	263	91
743	264	90
744	264	90
745	264	90
746	264	89
747	265	89
748	265	88
749	265	88
750	265	88
751	266	87
752	266	87
753	266	87
754	266	86
755	267	86
756	267	85
757	267	85
758	267	85
759	268	84
760	268	84
761	268	83
762	268	83
763	269	83
764	269	82
765	269	82
766	270	82
767	270	81
768	270	81
769	270	80
770	271	80
771	271	80
772	271	79
773	271	79
774	272	78
775	272	78
776	272	78
777	272	77
778	272	77
779	273	77
780	273	76
781	273	76
782	274	75
783	274	75
784	274	75
785	274	74
786	275	74
787	275	74
788	275	73
789	275	73
790	276	72
791	276	72
792	276	72
793	276	71
794	277	71
795	277	71
796	277	70
797	277	70
798	278	69
799	278	69
800	278	69
801	278	68
802	279	68
803	279	68
804	279	67
805	279	67
806	279	66
807	280	66
808	280	66
809	280	65
810	281	65
811	281	65
812	281	64
813	281	64
814	282	64
815	282	63
816	282	63
817	282	62
818	282	62
819	283	62
820	283	61
821	283	61
822	283	61
823	284	60
824	284	60
825	284	59
826	284	59
827	285	59
828	285	58
829	285	58
830	285	58
831	286	57
832	286	57
833	286	57
834	287	56
835	287	56
836	287	55
837	287	55
838	288	55
839	288	54
840	288	54
841	288	54
842	288	53
843	289	53
844	289	53
845	289	52
846	289	52
847	290	52
848	290	51
849	290	51
850	290	50
851	291	50
852	291	50
853	291	49
854	291	49
855	292	49
856	292	48
857	292	48
858	293	48
859	293	47
860	293	47
861	293	47
862	294	46
863	294	46
864	294	45
865	294	45
866	295	45
867	295	44
868	295	44
869	295	44
870	296	43
871	296	43
872	296	43
873	296	42
874	297	42
875	297	42
876	297	41
877	297	41
